meter_distribution,compromised_fraction,trial,J0,J1,L0,L1,percent_delta_J,perceived_load_drop_percent
paper,0.1,0,6.653804876353241,7.042046924761754,-7738.568747300188,-7611.2960804650775,5.5131988263717595,-1.6446538241262398
paper,0.1,1,6.652204219313403,6.9643147471632485,-7738.69415576155,-7598.221564062012,4.481568383694552,-1.8151976143798754
paper,0.1,2,6.650714229269898,7.051537870026685,-7738.70222604115,-7621.826471823905,5.68420177477215,-1.5102758938566212
paper,0.1,3,6.651014150043795,7.098663503638505,-7738.736915886646,-7615.87494682457,6.306107528061615,-1.587623024241284
paper,0.1,4,6.648458144362619,6.849643257464564,-7738.5739099330785,-7621.41206155637,2.9371619154427946,-1.513997924427939
paper,0.1,5,6.649670606482586,7.120518620022681,-7738.700772240649,-7576.302871669591,6.612552240451761,-2.098516344676261
paper,0.1,6,6.650538087957342,6.866194563502798,-7738.867021207624,-7635.776919531674,3.140844226753734,-1.3321084519664355
paper,0.1,7,6.647919246490605,6.972678293957026,-7738.756290035792,-7610.381475385699,4.657594023058233,-1.6588558915517835
paper,0.1,8,6.645825546070801,6.841095978457405,-7738.933167479154,-7617.702681029076,2.8543735243813244,-1.5665012712542465
paper,0.1,9,6.654459553201864,6.855019264486835,-7738.690158008157,-7637.115138261553,2.925735195581314,-1.312560881397896
paper,0.1,10,6.646228119617011,7.283285726600252,-7738.509599193095,-7600.117403016302,8.746843538714382,-1.788357233429331
paper,0.1,11,6.651419847840568,7.068919678204143,-7738.811138643237,-7611.219945259552,5.906133459839231,-1.6487182733607102
paper,0.1,12,6.648393478528774,7.134710236998535,-7738.860505073759,-7617.688478126475,6.816208960356413,-1.5657605776437058
paper,0.1,13,6.6525404912522585,6.8410374941446195,-7738.584548356784,-7655.904628143925,2.755386197688571,-1.068411409040106
paper,0.1,14,6.6455405426894965,7.14896939937578,-7738.465291624528,-7574.804726848554,7.041978060924987,-2.1148969286339763
paper,0.1,15,6.65430895279543,6.937567219754544,-7738.700026480676,-7631.745753333977,4.082962485070312,-1.382070280288905
paper,0.1,16,6.6506830751655865,6.9095161704285974,-7738.767099788582,-7621.11034851563,3.7460379117537466,-1.5203552420664777
paper,0.1,17,6.650593412452379,7.326342404318623,-7738.926198200166,-7620.48930550723,9.223551870411,-1.5304047313499538
paper,0.1,18,6.650631915236065,6.962248093252852,-7738.826262087803,-7660.529708133335,4.47579824566688,-1.0117368099868076
paper,0.1,19,6.648290898095876,6.8705559798322575,-7738.652707027686,-7657.678928685949,3.2350377813500897,-1.0463549846112388
paper,0.1,20,6.652440560284047,7.066609936322376,-7738.647543110811,-7602.843767954448,5.860934447640842,-1.754877378764461
paper,0.1,21,6.651302664576614,7.129505094385564,-7738.664122065878,-7601.182217167207,6.707372019209745,-1.7765586247199545
paper,0.1,22,6.6462912355303985,6.845493882876089,-7738.7403567626725,-7633.493508041245,2.909982110187743,-1.359999739873105
paper,0.1,23,6.650623868660784,7.102761043525883,-7738.931278546845,-7622.947765802348,6.36565375203237,-1.4987019340256393
